Model,Window,K,Accuracy,Balanced Accuracy,G-Mean,F1-Score_Música,Sensitivity_Música,Specificity_Música,F1-Score_Leer,Sensitivity_Leer,Specificity_Leer,F1-Score_Meditar,Sensitivity_Meditar,Specificity_Meditar,F1-Score_Matemáticas,Sensitivity_Matemáticas,Specificity_Matemáticas,Time(s)
GaussianNB,2,28,0.3416666666666667,0.36458333333333337,0.16859945172881746,0.7570977917981073,0.55,0.3350253807106599,0.22731277533039648,0.7,0.3251612903225806,0.0,0.09444444444444444,0.8947368421052632,0.18181818181818182,0.022222222222222223,0.2222222222222222,0.0804901123046875
VotingClassifier,1,43,0.5569444444444445,0.8847222222222223,0.5437199211332884,0.932642487046632,0.5888888888888889,0.5145631067961165,0.8531855955678671,0.5444444444444444,0.5414364640883977,0.8429752066115703,0.7111111111111111,0.6994535519125683,0.9090909090909091,0.38333333333333336,0.46,438.9549250920614
ExtraTrees,1,43,0.5305555555555556,0.9625,0.5193118136821833,0.9863013698630138,0.5166666666666667,0.5027027027027027,0.9189189189189189,0.4777777777777778,0.5620915032679739,0.9424083769633509,0.7166666666666667,0.6386138613861386,1.0,0.4111111111111111,0.4111111111111111,4.817172527313232
StackingClassifier,3,33,0.5430555555555555,0.9342592592592592,0.5356581632071892,0.9897100093545369,0.524074074074074,0.5349716446124764,0.9067460317460319,0.47962962962962963,0.5534188034188035,0.8825112107623319,0.7018518518518518,0.6591304347826087,0.9574468085106383,0.4666666666666667,0.42857142857142855,17895.114239692688
HistGradientBoosting,2,33,0.5388888888888889,0.9694444444444446,0.5295589514217888,0.9795918367346939,0.5111111111111111,0.49066666666666664,0.9610027855153204,0.5111111111111111,0.5139664804469274,0.9598893499308436,0.7083333333333334,0.7024793388429752,0.9772727272727273,0.425,0.44476744186046513,128.5950357913971
MLP,4,12,0.38333333333333336,0.8385416666666667,0.3756549276092498,0.9189534141671984,0.4444444444444444,0.3778040141676505,0.7807768268597762,0.40694444444444444,0.3667083854818523,0.7525622254758418,0.41944444444444445,0.4674922600619195,0.8990825688073394,0.2625,0.32142857142857145,124.19821763038637
VotingClassifier,2,41,0.5548611111111111,0.7951388888888888,0.541106242402034,0.8674698795180723,0.6472222222222223,0.4957446808510638,0.7062146892655368,0.5,0.5172413793103449,0.7390691114245417,0.6861111111111111,0.7077363896848138,0.8625592417061612,0.3861111111111111,0.5091575091575091,144.2312983115514
AdaBoost,3,35,0.5472222222222223,0.9263888888888889,0.5444079976361254,0.9800362976406534,0.5296296296296297,0.5088967971530249,0.8772226926333616,0.5833333333333334,0.4914196567862715,0.8589083419155511,0.6092592592592593,0.7633410672853829,0.9868667917448405,0.4666666666666667,0.4790874524714829,52.30264043807984
TabNet,3,37,0.4097222222222222,0.8949074074074075,0.40884595556311426,0.9863013698630138,0.4351851851851852,0.42342342342342343,0.89666951323655,0.42592592592592593,0.36450079239302696,0.7557603686635944,0.36666666666666664,0.6036585365853658,0.9106239460370995,0.4111111111111111,0.34365325077399383,826.2495849132538
GaussianNB,4,22,0.3315972222222222,0.3663194444444445,0.14416834150960825,0.7586933614330874,0.5333333333333333,0.32597623089983024,0.23053233611966567,0.6861111111111111,0.31809401159047007,0.0,0.09444444444444444,0.8947368421052632,0.18411097099621687,0.0125,0.1232876712328767,0.122591495513916
