Model,Window,K,Accuracy,G-Mean,F1-Score General,Sensibilidad Promedio,Especificidad General,F1-Score_Música,Sensitivity_Música,Specificity_Música,F1-Score_Leer,Sensitivity_Leer,Specificity_Leer,F1-Score_Meditar,Sensitivity_Meditar,Specificity_Meditar,F1-Score_Matemáticas,Sensitivity_Matemáticas,Specificity_Matemáticas,Time(s)
VotingClassifier,2,35,0.5458333333333333,0.5332549478672847,0.781958242841818,0.5458333333333333,0.8486111111111111,0.8791208791208792,0.6305555555555555,0.7851851851851852,0.7016129032258064,0.5194444444444445,0.8175925925925925,0.6899563318777292,0.6583333333333333,0.9166666666666666,0.8571428571428571,0.375,0.875,399.8317216475805
VotingClassifier,3,41,0.5537037037037037,0.5417714802839471,0.7960996202262007,0.5537037037037037,0.8512345679012345,0.878048780487805,0.6444444444444445,0.7888888888888889,0.7129798903107861,0.5185185185185185,0.8308641975308642,0.7230769230769231,0.662962962962963,0.9123456790123456,0.8702928870292888,0.3888888888888889,0.8728395061728395,96.01930321057638
StackingClassifier,1,50,0.5694444444444444,0.5572375460225583,0.9402679652036924,0.5694444444444444,0.8564814814814814,0.9772727272727273,0.5611111111111111,0.8685185185185185,0.9600000000000001,0.5777777777777777,0.8314814814814815,0.9081364829396326,0.7333333333333333,0.8722222222222222,0.9156626506024096,0.40555555555555556,0.8537037037037037,2030.3996098041532
VotingClassifier,4,37,0.5413194444444445,0.5323371069323725,0.8140582003932757,0.5413194444444445,0.8471064814814816,0.8910891089108911,0.6083333333333333,0.787962962962963,0.7371273712737126,0.4861111111111111,0.812037037037037,0.7399854333576111,0.6583333333333333,0.9171296296296296,0.888030888030888,0.4125,0.8712962962962963,175.89059476852418
VotingClassifier,4,45,0.5461805555555556,0.5337805569121838,0.7910984627954237,0.5461805555555554,0.8487268518518518,0.8685162846803378,0.6319444444444444,0.7763888888888889,0.6991643454038997,0.5055555555555555,0.837037037037037,0.7270114942528736,0.6652777777777777,0.9106481481481481,0.869701726844584,0.3819444444444444,0.8708333333333333,184.8067640622457
VotingClassifier,3,39,0.5509259259259259,0.5399696272962761,0.822878146655412,0.5509259259259259,0.8503086419753086,0.8947804473902237,0.6148148148148148,0.7932098765432098,0.7536496350364964,0.5333333333333333,0.8345679012345679,0.7576335877862594,0.6666666666666666,0.908641975308642,0.8854489164086687,0.3888888888888889,0.8648148148148148,97.6505494594574
VotingClassifier,4,41,0.5416666666666666,0.5286723583346086,0.7893302635653695,0.5416666666666667,0.8472222222222222,0.8674698795180723,0.6263888888888889,0.7736111111111111,0.6963788300835654,0.4847222222222222,0.8300925925925926,0.7246585190510424,0.6736111111111112,0.9138888888888889,0.868813825608798,0.3819444444444444,0.8712962962962963,183.09448877970377
VotingClassifier,3,37,0.5462962962962963,0.5326335878416597,0.7748336707194586,0.5462962962962963,0.8487654320987655,0.8612440191387559,0.6425925925925926,0.7734567901234568,0.6777777777777778,0.512962962962963,0.8376543209876544,0.7031700288184438,0.6592592592592592,0.9104938271604939,0.8571428571428571,0.37037037037037035,0.8734567901234568,101.0340957959493
KNN,2,5,0.3034722222222222,0.2889405010499889,0.70494806718913,0.3034722222222222,0.767824074074074,0.8044692737430167,0.4722222222222222,0.6620370370370371,0.5196629213483146,0.2611111111111111,0.7611111111111111,0.6136724960254372,0.275,0.8425925925925926,0.8819875776397516,0.20555555555555555,0.8055555555555556,0.1683547496795654
GaussianNB,2,28,0.3416666666666667,0.16859945172881746,0.2915571872366714,0.3416666666666667,0.7805555555555557,0.7570977917981073,0.55,0.6361111111111111,0.22731277533039648,0.7,0.5157407407407407,0.0,0.09444444444444444,0.9962962962962963,0.18181818181818182,0.022222222222222223,0.9740740740740741,0.0804901123046875
