Model,Window,K,Accuracy,G-Mean,F1-Score General,Sensibilidad Promedio,Especificidad General,F1-Score_Música,Sensitivity_Música,Specificity_Música,F1-Score_Meditar,Sensitivity_Meditar,Specificity_Meditar,Time(s)
Random Forest,4,133,0.8583333333333333,0.8583333333333333,1.0,0.8583333333333333,0.8583333333333333,1.0,0.8583333333333333,0.8583333333333333,1.0,0.8583333333333333,0.8583333333333333,27.06
Random Forest,3,140,0.8555555555555555,0.8555475388433132,0.996296245490336,0.8555555555555556,0.8555555555555556,0.996309963099631,0.8592592592592593,0.8518518518518519,0.996282527881041,0.8518518518518519,0.8592592592592593,18.35
Random Forest,2,61,0.8638888888888889,0.8638710251815072,0.994444272971388,0.8638888888888889,0.8638888888888889,0.994475138121547,0.8694444444444445,0.8583333333333333,0.9944134078212291,0.8583333333333333,0.8694444444444445,7.64
Random Forest,1,123,0.8611111111111112,0.8610931897776695,0.994444272971388,0.8611111111111112,0.8611111111111112,0.9944134078212291,0.8555555555555555,0.8666666666666667,0.994475138121547,0.8666666666666667,0.8555555555555555,8.66
