Model,Window,K,Accuracy,G-Mean,F1-Score General,Sensibilidad Promedio,Especificidad General,F1-Score_Música,Sensitivity_Música,Specificity_Música,F1-Score_Leer,Sensitivity_Leer,Specificity_Leer,F1-Score_Meditar,Sensitivity_Meditar,Specificity_Meditar,F1-Score_Matemáticas,Sensitivity_Matemáticas,Specificity_Matemáticas,Time(s)
Random Forest,4,129,0.5684027777777778,0.5605080183838581,0.958594410832244,0.5684027777777778,0.8561342592592592,0.9473684210526316,0.5833333333333334,0.8240740740740741,0.9148455162019593,0.4847222222222222,0.8805555555555555,0.974949221394719,0.7222222222222222,0.8902777777777777,0.9972144846796658,0.48333333333333334,0.8296296296296296,109.17567133903503
Random Forest,2,82,0.5840277777777778,0.5754065526481795,0.9686731639466747,0.5840277777777778,0.8613425925925926,0.9600000000000001,0.6055555555555555,0.8407407407407408,0.9534883720930233,0.525,0.8712962962962963,0.9795918367346939,0.7388888888888889,0.899074074074074,0.9816124469589815,0.4666666666666667,0.8342592592592593,133.64305138587952
Random Forest,3,134,0.5740740740740741,0.5656454789959404,0.9525384286022696,0.5740740740740741,0.8580246913580247,0.9457092819614712,0.6,0.828395061728395,0.9306930693069307,0.4925925925925926,0.8740740740740741,0.9642857142857143,0.7277777777777777,0.8845679012345679,0.9694656488549619,0.4759259259259259,0.8450617283950618,156.27114701271057
Random Forest,1,130,0.5805555555555556,0.5722731608478278,0.9406374758987064,0.5805555555555556,0.8601851851851852,0.975609756097561,0.6166666666666667,0.8555555555555555,0.9024390243902439,0.48333333333333334,0.8870370370370371,0.9115281501340482,0.7277777777777777,0.8851851851851852,0.972972972972973,0.49444444444444446,0.812962962962963,28.24687027931213
