Model,Window,K,Accuracy,G-Mean,F1-Score General,Sensibilidad Promedio,Especificidad General,F1-Score_Meditar,Sensitivity_Meditar,Specificity_Meditar,F1-Score_Matemáticas,Sensitivity_Matemáticas,Specificity_Matemáticas,Time(s)
Random Forest,2,138,0.8097222222222222,0.8087198388674398,0.959656773430662,0.8097222222222222,0.8097222222222222,0.9580318379160637,0.7694444444444445,0.85,0.9612817089452603,0.85,0.7694444444444445,12.24
Random Forest,1,116,0.7888888888888889,0.7887128129012283,0.983328702417338,0.788888888888889,0.788888888888889,0.983050847457627,0.7722222222222223,0.8055555555555556,0.9836065573770492,0.8055555555555556,0.7722222222222223,7.97
Random Forest,3,115,0.8148148148148148,0.8142759160688176,0.9703443352188479,0.8148148148148149,0.8148148148148149,0.9694656488549619,0.7851851851851852,0.8444444444444444,0.9712230215827338,0.8444444444444444,0.7851851851851852,17.28
Random Forest,4,111,0.7993055555555556,0.7991459561677449,0.984023702034325,0.7993055555555555,0.7993055555555555,0.9837685250529288,0.7833333333333333,0.8152777777777778,0.9842788790157211,0.8152777777777778,0.7833333333333333,23.87
